question,content
"How can I set custom template for item in list and than use it inside `v-for` loop?,VueJS access child component's data from parent,Vue template or render function not defined yet I am using neither?,How to access bound key of Vue.js list item?,How can I wrap each element in a slot?,How to pass state between components?,Vue transparently wrap component, modify some props,Using list items inside component - Vue2,How do I pass an item in a Vuex list to a component?,Vue props undefined when passing from parent component to child component","What I want to achieve is something like:,But anyway I don't like at all this solution. The idea of defining ,Component, key for an item in items list is hard to maintain since at least it is hard to write it in template-style way (usually we are talking about too long HTML inside). Also I don't like to wrap ,item.Component, inside ,div,.,Does anyone know the best-practice solution for this and where Vue describes such case in their docs?"
"How to autocomplete paths in prompt-toolkit,How to reuse completions from PathCompleter in prompt_toolkit,How can I represent an 'Enum' in Python?,How to flush output of print function?,How to copy a dictionary and only edit the copy,Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,How to get absolute path of a pathlib.Path object?,How to reuse completions from PathCompleter in prompt_toolkit,Using cmd module: how to have sub-commands documented in `help` and integrated with autocomplete?,Filter list while typing and select entry","I have seen this question: ,How to reuse completions from PathCompleter in prompt_toolkit,.,My question is: How to make a custom path completer that can complete paths.
I have some commands like ,cd,, ,foo,, ,bar,..., I would not like to autocomplete them (just the PATH)
Also the completer should work with any command. For Example ,foo <PATH>, or ,oof <PATH>,(Means that i dont want to hardcode the commands)."
"Installation of docker-ce denanded deb,Debian: deb command not found. How can i fix it?,How is Docker different from a virtual machine?,How to get a Docker container's IP address from the host,How to remove old Docker containers,Copying files from Docker container to host,Copying files from host to Docker container,How to copy Docker images from one host to another without using a repository,From inside of a Docker container, how do I connect to the localhost of the machine?","in Kubuntu 18.04 I installing docker-ce :,I found a possible decision, but got next error :,Is it some additive package and which is valid way to install it ?,Thanks!"
"Getting SSLHandshake exception for every url,Spring remoting using Https and tomcat,Resolving javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed Error?,URL Connection giving certificate path error,specify ciphersuite for tls handshake,Javamail - Could not connect to SMTP host,Soap request over Https in java using client stub,Heroku War Deploy SSL Error,Java - Unable to read image by url,c3p0 and Heroku postgres, issues with SSL","I am getting below error for any url over the internet. In other machines my code is working but in mine its not.,I have tried importing the certificate using keytool but its not helping me either."
"Strip output from ps command in unix,How to get the source directory of a Bash script from within the script itself?,How to call an external command?,How do I parse command line arguments in Bash?,What do 'real', 'user' and 'sys' mean in the output of time(1)?,How can I check if a program exists from a Bash script?,How to reload .bash_profile from the command line?,How do I set a variable to the output of a command in Bash?,Running shell command and capturing the output,How to change the output color of echo in Linux","I need to return only partial output from ps -ef command either using awk/sed/.. Below is the command that i am running.
I need the value returned only for weblogic.home ( /u01/app/xxxx/product/fmw/wlserver/server ) from the entire output. The weblogic.home value might be in the middle of the output as well .. so i need to cut with keyword weblogic.home to retrieve the value.,$ps -ef | grep weblogic.home | grep -v grep | head -1,test 26263 26206  0 Aug02 ?        07:26:15 /u01/app/xxxx/jdk1.8.0_251/bin/java -server -Xms256m -Xmx512m -cp xxxxxxx/server/lib/weblogic-launcher.jar -Dlaunch.use.env.classpath=true -Dweblogic.Name=xxxxxxx -Dweblogic.ProductionModeEnabled=true -Dweblogic.nodemanager.ServiceEnabled=true -Dweblogic.nmservice.RotationEnabled=true -Xms4096M -Xmx4096M -XX:+UseG1GC -XX:ParallelGCThreads=8 -XX:ConcGCThreads=2 -XX:MaxGCPauseMillis=500 -XX:+ScavengeBeforeFullGC -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -Xloggc:GCLogs/xxxxxxx_gc.log -XX:+UseGCLogFileRotation -XX:NumberOfGCLogFiles=10 -XX:GCLogFileSize=10M -XX:+HeapDumpOnOutOfMemoryError -Doracle.jdbc.fanEnabled=false -Djava.system.class.loader=com.oracle.classloader.weblogic.LaunchClassLoader -javaagent:/u01/app/oracle/product/fmw/wlserver/server/lib/debugpatch-agent.jar -da -Dwls.home=/u01/app/xxxx/product/fmw/wlserver/server -Dweblogic.home=/u01/app/xxxx/product/fmw/wlserver/server -Dweblogic.management.server=http://xxxxxxxx:xxxxx weblogic.Server,So the actual output that i need is,$ps -ef | grep weblogic.home | grep -v grep | head -1,/u01/app/oracle/product/fmw/wlserver/server"
"window.addEventListener / window.onload not working to write to specific div,How to write inside a DIV box with javascript,JavaScript innerHTML not working,Make a div fill the height of the remaining screen space,How do JavaScript closures work?,How to horizontally center a <div>,How can I make a div not larger than its contents?,How to insert an item into an array at a specific index (JavaScript)?,Generating random whole numbers in JavaScript in a specific range?,How to make a div 100% height of the browser window,Writing files in Node.js,window.onload vs $(document).ready(),How can I remove a specific item from an array?","I want to add a table to the div contents according to user input, somehow the table does not show even though the prompts starts. html as below:,i have tried ,this, and ,this,, but still not working,if i use document.write for the whole page instead, the links in the page does not work"
"Randomise blocks of values,covariance matrix from a community list with grouping factors,How to add a non-overlapping legend to associate colors with categories in pairs()?,Working with pairs of related columns (dplyr, tidyr, data.table),Looking for same values in two different columns in data.table,How to one-hot-encode factor variables with data.table?,Using dcast.data.table to transform from long to wide only for subset of column values,Need assistance in reshaping the data,Create new data.table columns based on other columns","I have a dataset where I have several variables - measurements of length, width etc - and a grouping variable - line. I want to randomise the data in such a way that the between line variances remain, but line covariances among variables are broken.,Using iris as an example, here I can get the blocks of values for each species to stay together and get randomised to new species for each trait individually - exactly as I want - but it is also putting NAs in the data. How can I get this to reduce so that the shape is the same as the original data?"
"How to implement query filters and sorting using Graphql SPQR?,What is the point of naming queries and mutations in GraphQL?,How to write filtering query with graphql?,GraphQL Spring-boot Query filtering,ValidationError FieldUndefined SPQR GraphQL,How to implement Subscriptions using Graphql SPQR?,Filtering nested fields, or mapping types to queries,GraphQl Java, How can I blindly return all variables associated with an object from query and question on handling sub classes,Sorting results in AWS Amplify GraphQL without filtering","How to implement query filters and sorting using Graphql SPQR?,I'm looking for a solution with Graphql SPQR for schema which looks something like this."
"Using contents of a .txt in batch,How can I pass arguments to a batch file?,Batch file to delete files older than N days,Split long commands in multiple lines through Windows batch file,How can I echo a newline in a batch file?,Windows batch files: .bat vs .cmd?,What is the current directory in a batch file?,How to delete all folders from the system drive from the command line,How to “comment-out” (add comment) in a batch/cmd?,Batch Count .txt Files and echoing filenames after function based on count,Sort Datewise through FOR from BATCH file","I want to make a program that at first run asks you for a directory for a file and stores it in a .txt then on the next run uses the contents of the .txt and doesn't ask you for a directory again.,The storing part i can do but the using the contents o the .txt i can't figure out.,This is what i've done so far if you are curious"
,
"Is Lua 5.3 compatible with Emscripten c++? How do I use it?,What are the differences between a pointer variable and a reference variable in C++?,How do JavaScript closures work?,How do I check if an element is hidden in jQuery?,How do I remove a property from a JavaScript object?,The Definitive C++ Book Guide and List,How do I redirect to another webpage?,What is the “-->” operator in C++?,How to check whether a string contains a substring in JavaScript?,How can I remove a specific item from an array?,C++11 introduced a standardized memory model. What does it mean? And how is it going to affect C++ programming?","I'm trying to compile a C++ project that uses it but it doesn't work. What compiler flags am I supposed to use?,I'm currently doing,emcc -s USE_SDL=2 -s USE_SDL_IMAGE=2 -s USE_SDL_MIXER=2 -s USE_OGG=1 -s USE_VORBIS=1 -s USE_LUA=53 -o game.html game.cpp,but its not working. The error it says is,fatal error: 'lua.hpp' file not found. how am i supposed to do this?"
"Copy a image from a folder, using a TXT file as the list,Standard concise way to copy a file in Java?,How do I copy a file in Python?,How do I create a Java string from the contents of a file?,Undo working copy modifications of one file in Git?,Writing a list to a file with Python,How to read all files in a folder from Java?,List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,How to read a file line-by-line into a list?,Download a single folder or directory from a GitHub repo","i have ""reject.txt"" file with 50 barcodes.
i have folder ""images"" with 300 images.
i would like to query ""Images"" folder with the ""reject.txt"" and copy the images to a folder called ""Check""
when i leave the second last ""ECHO."" it seems to work as expected. but with NO result.
@echo off
REM setup some variables
set file_list=C:\temp\reject.txt
pause
set target_dir=C:\temp\check
pause
for /f ""tokens=*"" %%i in (%file_list%) do (,REM remove the ECHO here if output looks good
pause
ECHO. copy ""C:\temp\reject "" %%i"" %target_dir%,)
pause
echo.
Done!,script result
"
"Suggest any open source data lineage tool compatible with web applications,Set up a scheduled job?,Peak detection in a 2D array,How to decide when to use Node.js?,Open source Web Application Test Automation tool","Suggest any open source data lineage tool compatible with web applications. I want to know about the methods through which i can establish connection between data lineage tool and web application
I am a fresher in this development area. So can anyone help?"
"Type error cannot read property undefined in angular 8,Angular2 NgModel not getting value in Jasmine test,angular 2 ng-bootstrap type ahead component - Can't bind to 'ngModel',Angular error: “Can't bind to 'ngModel' since it isn't a known property of 'input'”,AcquireToken Observable errors before returning token,Angular HTTP request error: “post valid request”,Placeholder in mat-autoComplete does not work as illustrated in the Angular Material Documentation,Angular 6 - ERROR TypeError: “this.router is undefined”,angular7 ag-grid this.http is undefined error,TypeError: Cannot read property 'invalid' of null - Angular Reactive Forms",
"tap outside edittext to lose focus in dialog fragment,How to stop EditText from gaining focus at Activity startup in Android,Android: show soft keyboard automatically when focus is on an EditText,Tap outside edittext to lose focus,How can I save values of editText that are dynamically created in a dialog Window within an xml file? - Android,How to make a edittext box in a dialog,RecyclerView Jumps to Top when scrolling through feed","I'd like to have my edittext lose focus and close the keyboard when clicking outside of it. I've found some really nice answers to this question that work for activities but I can't seem to figure it out inside my dialog fragment. I'm using a separate class to hold my alert dialog builder, something like this:"
"I'm trying to run a basic SpringBoot code but it is throwing a couple of errors which I couldn't figure it out. Please help me with this,How to deploy a spring boot MVC application in traditional tomcat webapps folder?,Spring Boot @autowired does not work, classes in different package,No qualifying bean of type 'javax.persistence.EntityManager' available: expected single matching bean but found 2,Spring Solr Repository,spring boot database error datasource ""org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration”,my spring-boot 2.x project occurs runtime error(java.lang.AbstractMethodError) like following message,Spring Boot @SpringBootTest gives NoClassDefFoundError: …DataAccessException,Spring boot 2.0.3.RELEASE, Spring data rest, application error, failed to start,Error creating bean with name 'projectingArgumentResolverBeanPostProcessor',@RepositoryRestResource did not work Spring boot 2.2.1.RELEASE. while running occured error RegionRepository must only contain a single path segment",
"Kaltura DRM integration with AVPlayer without using Playkit,Using AVPlayer to play DRM protected songs,DRM support in android,Android MediaPlayer, Exoplayer and WideVine DRM,Play DRM Content with Flutter/React Native on IOS and Android,Not able to play DRM content in Chrome headless mode,How to implement DRM in react native?,How does Android play DRM content after decryption?","I do have Kaltura DRM Protected content which needs to be played on AVPlayer. But while going through the Kaltura Documentation it was using Playkit to play Kaltura DRM protected content, but I want to integrate Kaltura DRM content with Native AVPlayer. Anyone has any success on doing it as I cannot see any documentation for the same.,Thanks in advance."
"problem in visualization of data using seaborn,Why can't Python parse this JSON data?,Peak detection in a 2D array,Matplotlib plots: removing axis, legends and white spaces,UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128),How do I write JSON data to a file?,Separation of business logic and data access in django,“Large data” work flows using pandas,Seaborn plots not showing up,Seaborn: countplot() with frequencies,Subplot for Seaborn lmplot","enter image description here,the output here is only showing the distribution for 1 category of data and isnt showing for the other category
How can this be rectified? what can be the reason?"
"What is the meaning of this code in React Native and Typescript?,get and set in TypeScript,How to convert a string to number in TypeScript?,Loop inside React JSX,Hide keyboard in react-native,What is the difference between using constructor vs getInitialState in React / React Native?,What do these three dots in React do?,Programmatically navigate using react router,What is the difference between React Native and React?,TypeScript: Interfaces vs Types,What is the meaning of 'No bundle URL present' in react-native?","I have read some codes of my company's project and see something strange and do not know what it is.,What is the meaning of the last '&' and an object { invalidMail?: string, ... }?,Does anybody know how this code affect InputValidation component? Thank in advance."
"Pandas groupby throwing up ValueError,Converting a Pandas GroupBy output from Series to DataFrame,Add one row to pandas DataFrame,Selecting multiple columns in a pandas dataframe,Renaming columns in pandas,Adding new column to existing DataFrame in Python pandas,Delete column from pandas DataFrame,“Large data” work flows using pandas,How do I get the row count of a pandas DataFrame?,How to iterate over rows in a DataFrame in Pandas,Get list from pandas DataFrame column headers","this is part of my pandas df. I wish to group ober category and sum data and keep unique location in list,What am I doing wrong? I would like to put unique location in groupby column.."
"why my methods are not defined on the instance,Why don't self-closing script elements work?,What is the preferred syntax for defining enums in JavaScript?,Why is using “for…in” for array iteration a bad idea?,Detecting an “invalid date” Date instance in JavaScript,What is JSONP, and why was it created?,Why does Google prepend while(1); to their JSON responses?,JavaScript check if variable exists (is defined/initialized),Why does ++[[]][+[]]+[+[]] return the string “10”?,Why does my JavaScript code receive a “No 'Access-Control-Allow-Origin' header is present on the requested resource” error, while Postman does not?","i currently learn about vue js and making my little full-stack project. i want the data from form is send to the backend. and this is my vue component,before add post request function, i want to make sure when i click the button the data show up in the console. instead of data, i got this error,i don't understand the error, i've been search for the answer but the error still there. any answer would be appreciated. thanks in advance !"
"What is the meaning of std::stack<int,std::vector<int>> s1;,What are the differences between a pointer variable and a reference variable in C++?,What does the explicit keyword mean?,What is the difference between const int*, const int * const, and int const *?,Why is “using namespace std;” considered bad practice?,What is the “-->” operator in C++?,What is The Rule of Three?,Undefined behavior and sequence points,C++11 introduced a standardized memory model. What does it mean? And how is it going to affect C++ programming?,Why should C++ programmers minimize use of 'new'?,Image Processing: Algorithm Improvement for 'Coca-Cola Can' Recognition","What is the meaning of ,std::stack<int,std::vector<int>> s1;, in C++.
Can anyone clearly explain to me what is the meaning of the above statement...
Is it a stack of vectors?,Why are we adding a stack inside a vector?,It would be really helpful if anyone could answer at the earliest."
"Laravel: How to save checkbox value,Can HTML checkboxes be set to readonly?,Setting “checked” for a checkbox with jQuery,How do I check whether a checkbox is checked in jQuery?,Check if checkbox is checked with jQuery,How to style a checkbox using CSS,How to create a checkbox with a clickable label?,Error 500 (Internal Server Error) ajax and laravel,500 server error on submitting a user create form,problem Integrity constraint violation: 1048 Column,Validate 'required' doesn't work for updating form in laravel6","I get this error, when I submit the form,Please help. Sorry for the noob question. I've been searching but the examples are different.,edit.blade.php,controller"
"Validate multiple recaptcha (V2) on form (both form) submit in php,jQuery form validation problem,Using reCaptcha, Lightbox, and Drupal's Form API together,Recaptcha documentation unclear - and cross-site error testing it,Google reCaptcha - How to get g-recaptcha-response - without FORM TAG,Google recaptcha not validating on server side the second time,reCAPTCHA in Angular2Dart,My recaptcha render doesn't work and return 0","I have two form on same page now i am validation form when google captcha response came at that time one is validating another is not validate response show blank
below script rendering captch,##form1
For this form google recaptcha is working fine onsubmit function also working fine
but for second function onsubmit validation is not happening it means response shows blank,##form2,here when I submitting second form response comes blank"
"test function that returns ReactNode with Typescript and Jest,How do you explicitly set a new property on `window` in TypeScript?,get and set in TypeScript,Are strongly-typed functions as parameters possible in TypeScript?,How to convert a string to number in TypeScript?,TypeScript: Interfaces vs Types,Cannot mock a module with jest, and test function calls,How to push to History in React Router v4?,jest, enzyme - testing a method that returns jsx,Why is my jest test failing in React native with typescript?","I am trying to test a function that returns a ,React.ReactNode, type, something like this:,I am trying to write unit tests for it but I am not sure how I can confirm that the functions return the correct ReactNode.,This is an example of the test:,I am not sure I can confirm the ,result, is what I am expecting? For instance how do I check the  function return the ,<Redirect />, ?"
"Laravel PayPal Multivendor System,Using Paypal Adaptive Payments API like Kickstarter uses Amazon Payments?,Android PayPal adaptive payment integration,PayPal Adaptive Payments IMPLICIT Pay API,Paypal REST API Adaptive / Multiple Payments (change payee),PayPal Adaptive Payments REST API or classic?,Paypal Adaptive - 3 way paments (without taking the user to Paypal site),Paypal mass payment each recipient payment status,Laravel Paypal API single payout","I am trying to develop a multivendor payment system in Laravel where each user is able to add their PayPal ,client_id, and ,client_secret,. So that each user is able to receive their payment in their own account.,If I understand correctly, so far Paypal adaptive allows for such kinds of system. However, it adaptive payment ,doesn't support, any more new accounts/implementation.,So any suggestion that how can I achieve that? Any resource to tutorial for that?"
"How to make async become sync,How do JavaScript closures work?,How do I check if an element is hidden in jQuery?,How do I remove a property from a JavaScript object?,How do I redirect to another webpage?,How do I include a JavaScript file in another JavaScript file?,How do I make the first letter of a string uppercase in JavaScript?,How to replace all occurrences of a string?,How to check whether a string contains a substring in JavaScript?,How can I remove a specific item from an array?,How do I return the response from an asynchronous call?","I'm still trying to figure out how the async/await works.,How can I achieve output as below?,I try to make func2 as async and await the setTimeout, but then they whole func2 become async function.  So it will print out this instead:"
"CreateJS, How To Load SVG As Vector, Not Bitmap,Concatenating two std::vectors,Strange out of memory issue while loading an image to a Bitmap object,How to find out if an item is present in a std::vector?,Save bitmap to location,How to convert a Bitmap to Drawable in android?,How to convert a Drawable to a Bitmap?,Do I use <img>, <object>, or <embed> for SVG files?,How to change the color of an svg element?","I'm trying to use CreateJS to load SVGs and place them on top of each other (with x, y, and rotation), while keeping them in vector form.  Below is my code.  The problem is that I have to use the Bitmap object, and it keeps rasterizing my SVGs.,I've looked at Snap (I don't understand the Docs), and I've looked at ReactJS (but that doesn't seem to be a solution for me).  Can anyone recommend how I can display SVGs with x, y, and rotation, while keeping them in vector form?  Thank you.,View a screen shot to show what I mean"
"MS Access - Conditional Formatting in Continuous Form on Specific Cells,Conditional Formatting based on previous cell value,Conditional formatting cells based on sum of ajacent text values,Conditional formatting of more than one blank cells,Conditional Formatting for 100% does not work,Conditional formatting VBA multiple conditions,Conditional formatting based on cell above","I'm working on Access and I have a question to ask on conditional formatting. As you can see in the picture I have 2 columns of data, L/I and Unit Price.,What I want to do is whenever there is duplicated L/I appearing in the data, conditional formatting will,I have done the first part as shown in the picture but I am clueless on the expression to be used for the second part. Not sure if I have articulated my concerns accurately but thanks in advance for attending to this question. Your help is sincerely appreciated.,What my continuous form looks like:"
"what is the best security postgres DB connecting unity?,How to reset postgres' primary key sequence when it falls out of sync?,psql: FATAL: Ident authentication failed for user “postgres”,Where are my postgres *.conf files?,How to drop a PostgreSQL database if there are active connections to it?,postgres: upgrade a user to be a superuser?,Postgres could not connect to server,Getting error: Peer authentication failed for user “postgres”, when trying to get pgsql working with rails,Node/Sails/Node-Postgres, best practice for storing connection string,What is the default password for Postgres,Connect Unity App to mySQL database","what is the best postgres DB connect unity?,Unity is known to be very vulnerable to security, so connecting a db directly with Unity was considered very unsafe, so unity -> php -> db
I am trying to make it like this. However, I found a problem with this method.,is that php security is as weak as Unity.,Do you know which method is the best way to connect postgresql to unity?,i know this question is subjective  but
I don't know where to ask these things
Or can you teach me where to ask these questions?"
"Publishing to NPM while using Webpack loaders and plugins,How can I update NodeJS and NPM to the next versions?,Find the version of an installed npm package,How to uninstall npm modules in node js?,npm throws error without sudo,What is the difference between Bower and npm?,What's the difference between dependencies, devDependencies and peerDependencies in npm package.json file?,What is the --save option for npm install?,Managing jQuery plugin dependency in webpack,NPM vs. Bower vs. Browserify vs. Gulp vs. Grunt vs. Webpack,Do I commit the package-lock.json file created by npm 5?","I have a javascript library project.,I've been publishing it as CDN successfully using Webpack.,Now I'm trying to publish it as npm package as well.,The problem is that it's heavily dependent to Webpack pre-processing. It uses url-loader, DefinePlugin, Aliasing, and more. But I don't think I can use them when I publish to npm.,I'm trying to avoid simply publishing the minified/bundled javascript file. That's not a good practice for a npm package is it?,What's the nice way to deal with such situation? Do I have to remove all the dependency to Webpack?"
"Can't connect remote replica set by Public IP,Connect to replica set using mgo,Unreachable MongoDB replica set using MAMP,Mongodb, Boot2Docker, and Replica Set connections,Unable to connect to MongoDB Replica Set using public IP addresses,MongoDB Replica Set Connection not created on server,MongoDB Error: Unable to reach primary for set [set_name] when connect to mongo replica set,MongoDB replica-set starts on DESKTOP instead of localhost","I've setup MongoDB replica set on a single machine with 3 different port 27017, 27018, and 27019.,MongoDB connection works fine When I'm connecting from the same machine with the private IP(IPV4).,I'm getting an error when I'm trying to access the replica set remotely.,Cannot connect to replica set ""REMOTE SERVER IP"".
Set's primary is unreachable.,Reason:
No member of the set is reachable. Reason: Connect failed,I've tried with the robo3t and programming with below connection string.,Note: I can able to connect the standalone MongoDB with the public IP.,Thanks in advance."
"How to print Public methods of a Class without listing the Base class methods?,How do I test a private function or a class that has private methods, fields or inner classes?,Fastest way to determine if an integer's square root is an integer,What's the simplest way to print a Java array?,Comparing Java enum members: == or equals()?,Java: when to use static methods,How do I get a class instance of generic type T?,Static Classes In Java,How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,List view getListItemXmlAttributes method fails with child publication items,Proper use cases for Android UserManager.isUserAGoat()?","When I try to print the public methods of a class, it prints the base class methods too. Is there a way to just print the child class methods ?"
